Generic,Name,Company,Strength,Price
Amoxicillin Trihydrate,E-mox,Edruc Ltd.,250 mg,3.39
Amoxicillin Trihydrate,E-mox,Edruc Ltd.,500 mg,6.07
Amoxicillin Trihydrate,E-mox,Edruc Ltd.,125 mg/5 ml,46.00
Amoxicillin Trihydrate,E-mox,Edruc Ltd.,125 mg/1.25 ml,30.00
Cefpodoxime Proxetil,E-Pod,Edruc Ltd.,200 mg,40.00
Cefpodoxime Proxetil,E-Pod,Edruc Ltd.,80 mg/5 ml,96.00
Rabeprazole Sodium,E-Reb,Ethical Drug Ltd.,20 mg,5.00
Erythromycin (Oral),E-ROX,Desh Pharmaceuticals Ltd.,500 mg,7.00
Erythromycin (Oral),E-ROX,Desh Pharmaceuticals Ltd.,125 mg/5 ml,70.00
Erythromycin (Oral),E-Rox 500,Desh Pharmaceuticals Ltd.,500 mg,7.00
Erythromycin (Oral),E-Rox 500,Desh Pharmaceuticals Ltd.,125 mg/5 ml,60.00
Oral Rehydration Salt [Powder],E-Saline,Edruc Ltd.,13.95 gm,4.58
Vitamin E [Alpha Tocopherol Acetate],E-Soft,Pacific Pharmaceuticals Ltd.,200 IU,4.00
Vitamin E [Alpha Tocopherol Acetate],E-Soft,Pacific Pharmaceuticals Ltd.,400 IU,6.00
Vitamin E [Alpha Tocopherol Acetate],E-Tab,ACME Laboratories Ltd.,200 IU,3.27
Losartan Potassium,E-Tan,Edruc Ltd.,50 mg,5.00
Vitamin E [Alpha Tocopherol Acetate],E-Zen,Zenith Pharmaceuticals Ltd.,200 mg,3.51
Paracetamol,Ease,Orbit Pharmaceuticals Ltd.,500 mg,0.80
Paracetamol,Ease,Orbit Pharmaceuticals Ltd.,120 mg/5 ml,20.00
Paracetamol + Caffeine,Ease Plus,Orbit Pharmaceuticals Ltd.,500 mg+65 mg,1.50
Diazepam,Easium,Opsonin Pharma Ltd.,10 mg/2 ml,3.68
Diazepam,Easium,Opsonin Pharma Ltd.,5 mg,0.69
Diazepam,Easium,Opsonin Pharma Ltd.,10 mg,3.01
Oral Rehydration Salt [Powder],Easy ORS,Central Pharmaceuticals Ltd.,19.95 gm,4.58
Oral Rehydration Salt [Rice Based],Easy ORS,Central Pharmaceuticals Ltd.,,12.00
Calcium Orotate Dihydrate,Easycal,Chemist Laboratories  Ltd.,400 mg,8.00
Ebastine,Ebahist,Globe Pharmaceuticals Ltd.,5 mg/5 ml,80.00
Ebastine,Ebahist,Globe Pharmaceuticals Ltd.,10 mg,6.00
Ebastine,Ebamine,Ibn-Sina Pharmaceuticals Ltd.,10 mg,6.00
Ebastine,Ebamine,Ibn-Sina Pharmaceuticals Ltd.,5 mg/5 ml,60.00
Ebastine,Ebanex,Opsonin Pharma Ltd.,5 mg/5 ml,79.97
Ebastine,Ebanex,Opsonin Pharma Ltd.,10 mg,6.01
Ebastine,Ebanil,Opso Saline Ltd.,10 mg,6.00
Ebastine,Ebaril,Incepta Pharmaceuticals Ltd.,10 mg,6.00
Ebastine,Ebaril,Incepta Pharmaceuticals Ltd.,5 mg/5 ml,60.00
Ebastine,Ebasten,ACI Limited,10 mg,8.00
Ebastine,Ebasten,ACI Limited,5 mg/5 ml,80.00
Ebastine,Ebasten FT,ACI Limited,10 mg,10.00
Ebastine,Ebatin,Popular Pharmaceuticals Ltd.,10 mg,10.00
Ebastine,Ebatin,Popular Pharmaceuticals Ltd.,10 mg,8.00
Ebastine,Ebatin,Popular Pharmaceuticals Ltd.,5 mg/5 ml,60.00
Ebastine,Ebatrol,Delta Pharma Ltd.,10 mg,5.00
Ebastine,Ebatrol,Delta Pharma Ltd.,5 mg/5 ml,80.00
Clobazam,Ebazam,Edruc Ltd.,10 mg,3.00
Albendazole,Eben,Edruc Ltd.,200 mg/5 ml,15.00
Albendazole,Eben-DS,Edruc Ltd.,400 mg,4.00
"Vitamin B1, B6 & B12",Ebion,Biogene Pharma Ltd.,100 mg+200 mg+200 mcg,7.00
Febuxostat,Eburic,Beximco Pharmaceuticals Ltd.,40 mg,12.00
Silver Sulfadiazine,Eburn,Pacific Pharmaceuticals Ltd.,1%,50.00
Levonorgestrel,EC Pill,Techno Drugs Ltd.,1.5 mg,50.00
Vitamin C + Vitamin E,EC Plus,Orion Pharma Ltd.,200 mg+200 mg,6.02
Betacarotene + Vitamin C + Vitamin E,EC-Vit,Zenith Pharmaceuticals Ltd.,6 mg+200 mg+50 mg,2.50
Betacarotene + Vitamin C + Vitamin E,ECA,Gaco Pharmaceuticals Ltd.,6 mg+200 mg+50 mg,2.54
Calcium Carbonate [Elemental] + Vitamin D3,Ecal-D3,Ethical Drug Ltd.,500 mg+200 IU,5.00
Aceclofenac,Ecena,Edruc Ltd.,100 mg,4.00
Erythromycin (Oral),Ecin,Gaco Pharmaceuticals Ltd.,125 mg/5 ml,60.00
Clobetasol Propionate [Topical Preparation],Eclo,General Pharmaceuticals Ltd.,0.05%,58.00
Clobetasol Propionate [Topical Preparation],Eclo,General Pharmaceuticals Ltd.,0.05%,68.00
Econazole Nitrate + Triamcinolone Acetonide,Ecocort,Globe Pharmaceuticals Ltd.,1%+0.1%,40.00
Econazole Nitrate,Ecoderm,Rephco Pharmaceuticals Ltd.,1%,28.00
Econazole Nitrate + Triamcinolone Acetonide,Ecoderm TA,Rephco Pharmaceuticals Ltd.,1%+0.1%,35.00
Econazole Nitrate,Ecolet,Amulet Pharmaceuticals Ltd.,1%,32.00
Econazole Nitrate + Triamcinolone Acetonide,Ecolon,Supreme Pharmaceutical Ltd.,1%+0.1%,40.00
Econazole Nitrate,Ecomet,Medimet Pharmaceuticals Ltd.,1%,30.00
Econazole Nitrate,Econal,Kemiko Pharmaceuticals Ltd.,1%,32.10
Econazole Nitrate,Econate,Incepta Pharmaceuticals Ltd.,1%,32.00
Econazole Nitrate + Triamcinolone Acetonide,Econate Plus,Incepta Pharmaceuticals Ltd.,1%+0.1%,40.00
Econazole Nitrate,Econate VT,Incepta Pharmaceuticals Ltd.,150 mg,23.33
Econazole Nitrate,Econate-G,Incepta Pharmaceuticals Ltd.,1%,70.00
Econazole Nitrate + Triamcinolone Acetonide,Ecoplus,Team Pharmaceuticals Ltd.,1%+0.1%,39.00
Lisinopril,Ecopril,Globe Pharmaceuticals Ltd.,10 mg,6.82
Econazole Nitrate,Ecoren,ACI Limited,1%,30.20
Econazole Nitrate + Triamcinolone Acetonide,Ecoren T,ACI Limited,1%+0.1%,41.27
Econazole Nitrate + Triamcinolone Acetonide,Ecosone,Pharmadesh Laboratories Ltd.,1%+0.1%,40.00
Aspirin,Ecosprin,ACME Laboratories Ltd.,300 mg,1.72
Aspirin,Ecosprin,ACME Laboratories Ltd.,150 mg,0.92
Aspirin,Ecosprin,ACME Laboratories Ltd.,75 mg,0.63
Clopidogrel + Aspirin,Ecosprin Plus,ACME Laboratories Ltd.,75 mg+75 mg,12.00
Econazole Nitrate + Triamcinolone Acetonide,Ecostat,Sharif Pharmaceuticals Ltd.,1%+0.1%,34.10
Econazole Nitrate + Triamcinolone Acetonide,Ecot,Medicon Pharmaceuticals Ltd.,1%+0.1%,37.50
"Vitamin C, Vitamin E, Lutein, Copper & Zinc",Ecotin,Globe Pharmaceuticals Ltd.,,8.80
Econazole Nitrate + Triamcinolone Acetonide,Ecotrim,Beximco Pharmaceuticals Ltd.,1%+0.1%,34.50
Vitamin E [Alpha Tocopherol Acetate],Ecovit,Globe Pharmaceuticals Ltd.,400 mg,6.00
Vitamin E [Alpha Tocopherol Acetate],Ecovit-S,Globe Pharmaceuticals Ltd.,200 mg,4.00
Etoricoxib,Ecox,Alco Pharma Ltd.,120 mg,14.04
Etoricoxib,Ecox,Alco Pharma Ltd.,60 mg,7.02
Etoricoxib,Ecox,Alco Pharma Ltd.,90 mg,12.04
Econazole Nitrate,Ecozol,Opsonin Pharma Ltd.,1%,32.11
Econazole Nitrate + Triamcinolone Acetonide,Ecozol Plus,Opsonin Pharma Ltd.,1%+0.1%,45.00
Econazole Nitrate,Ecozol VT,Opsonin Pharma Ltd.,150 mg,23.41
Aceclofenac,Ectinac,United Chemicals & Pharmaceuticals Ltd.,100 mg,3.01
Sildenafil Citrate,Edegra,Sun Pharmaceutical (Bangladesh) Ltd.,50 mg,30.10
Sildenafil Citrate,Edegra,Sun Pharmaceutical (Bangladesh) Ltd.,100 mg,50.15
Furosemide + Spironolactone,Edeloss,Incepta Pharmaceuticals Ltd.,20 mg+50 mg,8.00
Furosemide + Spironolactone,Edeloss Plus,Incepta Pharmaceuticals Ltd.,40 mg+50 mg,10.00
Furosemide + Spironolactone,Edemide,ACME Laboratories Ltd.,20 mg+50 mg,8.03
Furosemide + Spironolactone,Edemide,ACME Laboratories Ltd.,40 mg+50 mg,10.03
Furosemide + Spironolactone,Edenil,Eskayef Bangladesh Ltd.,20 mg+50 mg,8.00
Furosemide + Spironolactone,Edenil,Eskayef Bangladesh Ltd.,40 mg+50 mg,10.00
Calcium Carbonate,Edical,Edruc Ltd.,500 mg,2.00
Calcium Carbonate [Elemental] + Vitamin D3,Edical-D,Edruc Ltd.,500 mg+200 IU,5.00
Cephalexin,Edicef,Edruc Ltd.,250 mg,6.50
Diclofenac Sodium,Edifenac,Edruc Ltd.,50 mg,0.83
Diclofenac Sodium,Edifenac,Edruc Ltd.,75 mg/3 ml,15.00
Diclofenac Sodium + Lidocaine Hydrochloride,Edifenac Plus,Edruc Ltd.,(75 mg+20 mg)/2 ml,15.00
Diclofenac Sodium,Edifenac-TR,Edruc Ltd.,100 mg,3.00
Cephradine,Edin,Millat Pharmaceuticals Ltd.,250 mg,6.50
Cephradine,Edin,Millat Pharmaceuticals Ltd.,500 mg,12.50
Cephradine,Edin,Millat Pharmaceuticals Ltd.,125 mg/5 ml,86.00
Cephradine,Edin,Millat Pharmaceuticals Ltd.,125 mg/1.25 ml,50.00
Cephradine,Edin DS,Millat Pharmaceuticals Ltd.,250 mg/5 ml,120.00
Vitamin B complex,Ediplex,Edruc Ltd.,,0.77
Vitamin B complex,Ediplex,Edruc Ltd.,,26.00
Iron Polymaltose Complex + Vitamin B Complex + Zinc,Ediplex-ZI,Edruc Ltd.,,50.00
Prednisolone Acetate,Edisolone,Pacific Pharmaceuticals Ltd.,1%,100.00
Ranitidine,Editin-R,Edruc Ltd.,150 mg,2.23
Ranitidine,Editin-R,Edruc Ltd.,50 mg/2 ml,12.00
Cotrimoxazole [Sulphamethoxazole + Trimethoprim],Editrim,Edruc Ltd.,(200 mg+40 mg)/5 ml,25.00
Cotrimoxazole [Sulphamethoxazole + Trimethoprim],Editrim-DS,Edruc Ltd.,800 mg+160 mg,3.04
Etodolac,Edolac,Opsonin Pharma Ltd.,300 mg,8.03
Etodolac,Edolac ER,Opsonin Pharma Ltd.,600 mg,18.06
Domperidone Maleate,Edone,Zenith Pharmaceuticals Ltd.,10 mg,2.00
Domperidone Maleate,Edone,Zenith Pharmaceuticals Ltd.,5 mg/5 ml,28.00
Etodolac,Edopain,Incepta Pharmaceuticals Ltd.,300 mg,8.00
Etodolac,Edopain ER,Incepta Pharmaceuticals Ltd.,600 mg,18.00
Montelukast Sodium,Edron,Edruc Ltd.,10 mg,15.00
Chloramphenicol,Edrumycetin,Edruc Ltd.,250 mg,2.50
Chloramphenicol,Edrumycetin,Edruc Ltd.,0.5%,34.00
"Vitamin B1, B6 & B12",Edruplex,Edruc Ltd.,100 mg+200 mg+200 mcg,8.00
"Vitamin B1, B6 & B12",Edruplex,Edruc Ltd.,(100 mg+100 mg+1 mg)/3 ml,25.00
Prednisolone,Edruson,Edruc Ltd.,5 mg,1.15
Multivitamin [Pediatric preparation],Edruvit,Edruc Ltd.,,23.00
Multivitamin & Multimineral,Edruvit-M,Edruc Ltd.,,1.50
Erythromycin (Oral),Edry,Edruc Ltd.,125 mg/5 ml,60.00
Tadalafil,Edysta,Unimed Unihealth MFG. Ltd.,5 mg,18.00
Tadalafil,Edysta,Unimed Unihealth MFG. Ltd.,10 mg,35.00
Tadalafil,Edysta,Unimed Unihealth MFG. Ltd.,20 mg,60.00
Tadalafil,Edysta,Unimed Unihealth MFG. Ltd.,2.5 mg,10.00
Rifaximin,Efaxim,Square Pharmaceuticals Ltd.,550 mg,45.00
Rifaximin,Efaxim,Square Pharmaceuticals Ltd.,200 mg,20.00
Cefdinir,Efdinir,Incepta Pharmaceuticals Ltd.,300 mg,45.00
Cefdinir,Efdinir,Incepta Pharmaceuticals Ltd.,125 mg/5 ml,175.00
Calcium Orotate Dihydrate,Effical,Globe Pharmaceuticals Ltd.,400 mg,8.00
Prasugrel Hydrochloride,Efirel,Opsonin Pharma Ltd.,5 mg,12.00
Prasugrel Hydrochloride,Efirel,Opsonin Pharma Ltd.,10 mg,19.99
Etoricoxib,Eflam,Apex Pharmaceuticals Ltd.,60 mg,7.00
Etoricoxib,Eflam,Apex Pharmaceuticals Ltd.,90 mg,12.00
Etoricoxib,Eflam,Apex Pharmaceuticals Ltd.,120 mg,14.00
Ciprofloxacin,Efloxin,Ethical Drug Ltd.,500 mg,14.00
Ciprofloxacin,Efloxin,Ethical Drug Ltd.,250 mg,7.50
Ciprofloxacin,Efloxin,Ethical Drug Ltd.,250 mg/5 ml,90.00
Ciprofloxacin,Efloxin,Ethical Drug Ltd.,750 mg,18.00
Flucloxacillin Sodium,Eflucin,Jayson Pharma Ltd.,250 mg,5.79
Flucloxacillin Sodium,Eflucin,Jayson Pharma Ltd.,500 mg,10.07
Flucloxacillin Sodium,Eflucin,Jayson Pharma Ltd.,125 mg/5 ml,61.43
Flucloxacillin Sodium,Eflucin,Jayson Pharma Ltd.,250 mg/vial,30.00
Flucloxacillin Sodium,Eflucin,Jayson Pharma Ltd.,500 mg/vial,40.00
Domperidone Maleate,Efodio,Radiant Pharmaceuticals Ltd.,10 mg,4.00
Ferrous Sulfate + Folic Acid + Zinc Sulfate Monohydrate,Efol ER,Beximco Pharmaceuticals Ltd.,150 mg+0.5 mg+61.8 mg,2.51
Cephradine,Efrad,Edruc Ltd.,250 mg,6.50
Cephradine,Efrad,Edruc Ltd.,500 mg,12.50
Cephradine,Efrad,Edruc Ltd.,125 mg/5 ml,82.00
Vitamin E [Alpha Tocopherol Acetate],Efynal,Healthcare Pharmacuticals Ltd.,200 mg,6.50
Pregabalin,Egaba,Euro Pharma Ltd.,50 mg,13.00
Pregabalin,Egaba,Euro Pharma Ltd.,75 mg,17.00
Pregabalin,Egaba,Euro Pharma Ltd.,100 mg,22.00
Gentamicin Sulfate (Injection),Egen,Edruc Ltd.,80 mg/2 ml,9.50
Domperidone Maleate,Egut,Euro Pharma Ltd.,10 mg,2.50
Domperidone Maleate,Egut,Euro Pharma Ltd.,5 mg/5 ml,35.00
Bromhexine Hyrdochloride,Ehexin,Ethical Drug Ltd.,4 mg/5 ml,45.00
Dapoxetine Hydrochloride,Ejalong,Drug International Ltd.,30 mg,20.00
Dapoxetine Hydrochloride,Ejalong,Drug International Ltd.,60 mg,40.00
Ketorolac Tromethamine,Eket,Edruc Ltd.,10 mg,10.00
Ketorolac Tromethamine,Eket,Edruc Ltd.,30 mg/ml,50.00
Clobetasol Propionate + Salicylic Acid,Ekzina,Medicon Pharmaceuticals Ltd.,0.05%+3%,64.77
Loratadine,Eladin,Jayson Pharma Ltd.,10 mg,3.05
Loratadine,Eladin,Jayson Pharma Ltd.,5 mg/5 ml,26.48
Hydroquinone,Eldopaque Forte,Janata Traders,4%,402.05
Potassium Chloride,Electro-K,ACME Laboratories Ltd.,600 mg,0.60
Potassium Chloride,Electro-K,ACME Laboratories Ltd.,500 mg/5 ml,25.08
Sodium Chloride + Dextrose,Electrodex,Orion Infusion Ltd.,0.225%+10%,65.56
Hartmann's Solution,Electrosal,Popular Pharmaceuticals Ltd.,,71.30
Levetiracetam,Eletam,Unimed Unihealth MFG. Ltd.,250 mg,16.00
Levetiracetam,Eletam,Unimed Unihealth MFG. Ltd.,500 mg,30.00
Levetiracetam,Eletam,Unimed Unihealth MFG. Ltd.,500 mg/5 ml,400.00
Cefixime Trihydrate,Elexime,Reliance Pharmaceuticals Ltd.,200 mg,35.00
Cefixime Trihydrate,Elexime,Reliance Pharmaceuticals Ltd.,100 mg/5 ml,160.00
Fexofenadine Hydrochloride,Elfexo,Leon Pharmaceuticals Ltd.,120 mg,7.00
Fexofenadine Hydrochloride,Elfexo,Leon Pharmaceuticals Ltd.,180 mg,9.00
Fexofenadine Hydrochloride,Elfexo,Leon Pharmaceuticals Ltd.,30 mg/5 ml,49.98
Doxycycline Hydrochloride,Elidox,Reliance Pharmaceuticals Ltd.,100 mg,2.00
Permethrin,Elimate,Incepta Pharmaceuticals Ltd.,5% w/w,40.00
Permethrin + Crotamiton,Elimate Plus,Incepta Pharmaceuticals Ltd.,5%+10%,100.00
Ciprofloxacin,Eliprox,Reliance Pharmaceuticals Ltd.,500 mg,14.00
Cefuroxime Axetil,Eliroxime,Reliance Pharmaceuticals Ltd.,250 mg,25.00
Cefuroxime Axetil,Eliroxime,Reliance Pharmaceuticals Ltd.,125 mg/5 ml,170.34
Cetirizine Hydrochloride [Oral],Elitrizine,Elixir Pharmaceuticals Ltd.,10 mg,2.50
Albendazole,Elmin,Jayson Pharma Ltd.,400 mg,4.50
Albendazole,Elmin-DT,Jayson Pharma Ltd.,400 mg,4.26
Loratadine,Elo,Edruc Ltd.,10 mg,2.50
Cephradine,Elocef,Ethical Drug Ltd.,250 mg,7.00
Cephradine,Elocef,Ethical Drug Ltd.,500 mg,13.00
Cephradine,Elocef,Ethical Drug Ltd.,125 mg/5 ml,80.00
Econazole Nitrate + Triamcinolone Acetonide,Elocon,Amico Laboratories Ltd.,1%+0.1%,40.00
Escitalopram,Elodep,ACME Laboratories Ltd.,5 mg,5.52
Escitalopram,Elodep,ACME Laboratories Ltd.,10 mg,10.03
Eltrombopag Olamine,Elopag,Everest Pharmaceuticals Ltd.,50 mg,900.00
Eltrombopag Olamine,Elopag,Everest Pharmaceuticals Ltd.,25 mg,500.00
Eflornithine Hydrochloride,Elorim,Square Pharmaceuticals Ltd.,13.9%,"1,500.00"
Oxaliplatin,Eloxatin,Sanofi Bangladesh Ltd.,5 mg/ml,"6,226.13"
Eltrombopag Olamine,Eltropag,Incepta Pharmaceuticals Ltd.,25 mg,500.00
Levothyroxine Sodium,Eltroxin,GlaxoSmithKline,50 mcg,2.55
Eluxadoline,Eluxan,Ziska Pharmaceuticals Ltd.,100 mg,170.00
Metronidazole,Elygyl,S.N. Pharmaceutical Ltd.,200 mg/5 ml,22.00
Metronidazole,Elygyl,S.N. Pharmaceutical Ltd.,400 mg,1.00
Donepezil Hydrochloride,Elzer,Square Pharmaceuticals Ltd.,5 mg,10.07
Erythromycin (Oral),EM,Modern Pharmaceuticals Ltd.,500 mg,8.00
Erythromycin (Oral),EM,Modern Pharmaceuticals Ltd.,125 mg/5 ml,60.00
Esomeprazole,Ema,Globe Pharmaceuticals Ltd.,20 mg,7.00
Esomeprazole,Ema,Globe Pharmaceuticals Ltd.,40 mg,15.00
Esomeprazole,Ema,Globe Pharmaceuticals Ltd.,20 mg,6.00
Esomeprazole,Ema,Globe Pharmaceuticals Ltd.,40 mg,8.00
Esomeprazole,Ema,Globe Pharmaceuticals Ltd.,40 mg/vial,80.00
Naproxen Sodium + Esomeprazole,Emaprox,Globe Pharmaceuticals Ltd.,500 mg+20 mg,10.00
Naproxen Sodium + Esomeprazole,Emaprox,Globe Pharmaceuticals Ltd.,375 mg+20 mg,8.00
Empagliflozin,Emazid,Eskayef Bangladesh Ltd.,25 mg,40.00
Empagliflozin,Emazid,Eskayef Bangladesh Ltd.,10 mg,25.00
Empagliflozin + Metformin Hydrochloride,Emazid M,Eskayef Bangladesh Ltd.,5 mg+500 mg,15.00
Pivmecillinam,Emcil,Square Pharmaceuticals Ltd.,200 mg,15.05
Levonorgestrel,Emcon 1,Renata Limited,1.5 mg,60.00
Chlorpromazine Hydrochloride,Emectil,Pharmik Laboratories Ltd.,25 mg/5 ml,12.00
Domperidone Maleate,Emedom,Cosmic Pharma Ltd.,10 mg,1.54
Meclizine + Pyridoxine,Emego Plus,Opsonin Pharma Ltd.,25 mg+50 mg,3.00
Aprepitant,Emend,Opsonin Pharma Ltd.,40 mg,45.13
Meclizine + Pyridoxine,Emenil Plus,Incepta Pharmaceuticals Ltd.,25 mg+50 mg,3.00
Esomeprazole,Emep,Aristopharma Ltd.,20 mg,5.00
Esomeprazole,Emep,Aristopharma Ltd.,20 mg,7.00
Esomeprazole,Emep,Aristopharma Ltd.,40 mg,9.00
Esomeprazole,Emep,Aristopharma Ltd.,40 mg/vial,90.00
Phenobarbital,Emer,Opsonin Pharma Ltd.,30 mg,0.78
Phenobarbital,Emer,Opsonin Pharma Ltd.,60 mg,1.14
Phenobarbital,Emer,Opsonin Pharma Ltd.,20 mg/5 ml,57.30
Ondansetron,Emeren,Renata Limited,4 mg,6.00
Ondansetron,Emeren,Renata Limited,8 mg,10.01
Ondansetron,Emeren,Renata Limited,8 mg/4 ml,30.00
Ondansetron,Emeren,Renata Limited,4 mg/5 ml,30.00
Ondansetron,Emeset,Veritas Pharmaceuticals Ltd.,8 mg,10.00
Ondansetron,Emeset,Veritas Pharmaceuticals Ltd.,4 mg/5 ml,45.14
Ondansetron,Emeset,Veritas Pharmaceuticals Ltd.,4 mg,N/A
Aprepitant,Emestop,Incepta Pharmaceuticals Ltd.,40 mg,50.00
Aprepitant,Emestop,Incepta Pharmaceuticals Ltd.,125 mg,150.00
Omeprazole,Emez,Edruc Ltd.,20 mg,5.00
Omeprazole,Emez,Edruc Ltd.,40 mg,8.00
Meclizine Hydrochloride,Emezin,Eskayef Bangladesh Ltd.,50 mg,2.50
Meclizine + Pyridoxine,Emezin Plus,Eskayef Bangladesh Ltd.,25 mg+50 mg,3.00
Empagliflozin,Emfogen,General Pharmaceuticals Ltd.,10 mg,25.00
Empagliflozin,Emfogen,General Pharmaceuticals Ltd.,25 mg,40.00
Domperidone Maleate,Emidom,Somatec Pharmaceuticals Ltd.,5 mg/ml,20.08
Domperidone Maleate,Emidom,Somatec Pharmaceuticals Ltd.,10 mg,2.50
Domperidone Maleate,Emidom,Somatec Pharmaceuticals Ltd.,5 mg/5 ml,28.11
Cefpodoxime Proxetil,Emiprox,Virgo Pharmaceuticals Ltd.,40 mg/5 ml,90.00
Cefpodoxime Proxetil,Emiprox DS,Virgo Pharmaceuticals Ltd.,80 mg/5 ml,170.00
Ondansetron,Emirest,Pharmasia Limited,4 mg,5.00
Ondansetron,Emirest,Pharmasia Limited,4 mg/5 ml,44.00
Ondansetron,Emiset,Alco Pharma Ltd.,8 mg,10.00
Ondansetron,Emiset,Alco Pharma Ltd.,4 mg/5 ml,45.00
Ondansetron,Emistat,Healthcare Pharmacuticals Ltd.,4 mg,6.00
Ondansetron,Emistat,Healthcare Pharmacuticals Ltd.,8 mg,11.00
Ondansetron,Emistat,Healthcare Pharmacuticals Ltd.,8 mg/4 ml,32.00
Ondansetron,Emistat,Healthcare Pharmacuticals Ltd.,4 mg/5 ml,45.00
Ondansetron,Emiston,Ibn-Sina Pharmaceuticals Ltd.,8 mg,11.01
Ondansetron,Emiston,Ibn-Sina Pharmaceuticals Ltd.,8 mg/4 ml,25.08
Ondansetron,Emiston,Ibn-Sina Pharmaceuticals Ltd.,4 mg/5 ml,50.00
Prochlorperazine,Emitab,Sonear Laboratories Ltd.,5 mg,0.38
Ondansetron,Emiteron,Premier Pharmaceuticals Ltd.,8 mg,9.00
Ondansetron,Emitof,Rangs Pharmaceuticals Ltd.,4 mg,5.00
Ondansetron,Emitof,Rangs Pharmaceuticals Ltd.,8 mg,10.00
Cefixime Trihydrate,Emixef,Incepta Pharmaceuticals Ltd.,25 mg/ml,100.00
Cefixime Trihydrate,Emixef,Incepta Pharmaceuticals Ltd.,200 mg,35.00
Cefixime Trihydrate,Emixef,Incepta Pharmaceuticals Ltd.,400 mg,50.00
Cefixime Trihydrate,Emixef,Incepta Pharmaceuticals Ltd.,100 mg/5 ml,130.00
Cefixime Trihydrate,Emixef DS,Incepta Pharmaceuticals Ltd.,200 mg/5 ml,280.00
Amlodipine,Emlon,Biopharma Laboratories Ltd.,5 mg,5.00
Amlodipine,Emlon,Biopharma Laboratories Ltd.,10 mg,7.01
Amlodipine + Atenolol,Emlon Plus,Biopharma Laboratories Ltd.,5 mg+50 mg ,6.00
Esomeprazole,Emo-20,Pharmadesh Laboratories Ltd.,20 mg,4.50
Ketorolac Tromethamine,Emodol,Jayson Pharma Ltd.,10 mg,10.18
Ketorolac Tromethamine,Emodol,Jayson Pharma Ltd.,30 mg/ml,55.17
Ketorolac Tromethamine (Ophthalmic),Emodol,Jayson Pharma Ltd.,0.5%,65.00
Tiemonium Methylsulphate,Emogin,Somatec Pharmaceuticals Ltd.,50 mg,5.00
Light Paraffin + White Paraffin,Emolent,Square Pharmaceuticals Ltd.,3%+8%,250.00
Light Paraffin + White Paraffin,Emolent,Square Pharmaceuticals Ltd.,6%+15%,100.30
Tiemonium Methylsulphate,Emonium,Beximco Pharmaceuticals Ltd.,50 mg,5.00
Tiemonium Methylsulphate,Emonium,Beximco Pharmaceuticals Ltd.,5 mg/2ml,14.99
White Soft Paraffin + Liquid Paraffin,Emosoft,Incepta Pharmaceuticals Ltd.,50%+50%,300.00
Diclofenac Sodium,Emov,Edruc Ltd.,1.16% w/w,25.00
Amoxicillin + Clavulanic Acid,Emox-C,Edruc Ltd.,250 mg+125 mg,20.00
Amoxicillin + Clavulanic Acid,Emox-C,Edruc Ltd.,500 mg+125 mg,25.00
Amoxicillin Trihydrate,Emoxil,Ethical Drug Ltd.,250 mg,3.10
Amoxicillin Trihydrate,Emoxil,Ethical Drug Ltd.,500 mg,6.00
Amoxicillin Trihydrate,Emoxil,Ethical Drug Ltd.,125 mg/1.25 ml,28.00
Amoxicillin Trihydrate,Emoxil,Ethical Drug Ltd.,125 mg/5 ml,47.00
Empagliflozin,Empa,NIPRO JMI Pharma Ltd.,10 mg,25.00
Empagliflozin,Empa,NIPRO JMI Pharma Ltd.,25 mg,50.00
Empagliflozin,Empaglif,Aristopharma Ltd.,10 mg,25.00
Empagliflozin,Empaglif,Aristopharma Ltd.,25 mg,40.00
Empagliflozin + Metformin Hydrochloride,EmpaMet,NIPRO JMI Pharma Ltd.,5 mg+500 mg,15.00
Empagliflozin,Emparol,Drug International Ltd.,10 mg,25.00
Empagliflozin,Emparol,Drug International Ltd.,25 mg,40.00
Empagliflozin,Empatab,Incepta Pharmaceuticals Ltd.,10 mg,25.00
Empagliflozin,Empatab,Incepta Pharmaceuticals Ltd.,25 mg,40.00
Empagliflozin,Empazin,Delta Pharma Ltd.,25 mg,30.00
Empagliflozin,Empazin,Delta Pharma Ltd.,10 mg,15.00
Lidocaine + Prilocaine,Emprila,Unimed Unihealth MFG. Ltd.,2.5%+2.5%,100.00
Ambroxol Hydrochloride,Emulyt,Alco Pharma Ltd.,15 mg/5 ml,45.14
Urea [25%],Emurea,Ziska Pharmaceuticals Ltd.,25%,150.00
Erythromycin (Oral),Emycin,Medimet Pharmaceuticals Ltd.,250 mg,4.75
Erythromycin (Oral),Emycin,Medimet Pharmaceuticals Ltd.,125 mg/5 ml,61.00
Aceclofenac,Ena,Asiatic Laboratories Ltd.,100 mg,3.00
Naproxen Sodium + Esomeprazole,Enar,Medicon Pharmaceuticals Ltd.,375 mg+20 mg,7.99
Naproxen Sodium + Esomeprazole,Enar,Medicon Pharmaceuticals Ltd.,500 mg+20 mg,9.66
Enalapril Maleate,Enaril,Beximco Pharmaceuticals Ltd.,5 mg,1.00
Carbonyl Iron + Folic Acid + Zinc Sulfate,Enazif,Virgo Pharmaceuticals Ltd.,50 mg+0.50 mg+61.80 mg,4.00
